FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,MOMENTO_DIA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,LATITUD,LONGITUD,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,ZONA
2015-01-03 12:30:00,2015,1,Sáb,12:30:00:PM,Medio dia,Solo daños,Choque,CLLE 76 CRA 60,11.0067707,-74.8001673,0.0,0.0,1,NORTE
2015-01-04 01:00:00,2015,1,Dom,01:00:00:AM,Madrugada,Solo daños,Choque,CALLE 82 CR 59,11.0102435,-74.81122239999998,0.0,0.0,1,NORTE
2015-01-04 02:45:00,2015,1,Dom,02:45:00:AM,Madrugada,Con heridos,Choque,CRA 24 CLLE 53D,10.9695165,-74.7969719,1.0,0.0,1,CENTRO
2015-01-04 15:10:00,2015,1,Dom,03:10:00:PM,Tarde,Solo daños,Choque,CR 30 CL 47,10.9723721,-74.79054119999998,0.0,0.0,1,CENTRO
2015-01-04 03:24:00,2015,1,Dom,03:24:00:AM,Madrugada,Solo daños,Choque,CALLE 110 CR 9G,10.950268199999998,-74.8562908,0.0,0.0,1,SUR
2015-01-04 15:30:00,2015,1,Dom,03:30:00:PM,Tarde,Solo daños,Choque,CR 22 48 46,10.9665272,-74.7954736,0.0,0.0,1,CENTRO
2015-01-04 19:00:00,2015,1,Dom,07:00:00:PM,Noche,Solo daños,Choque,CRA 23 CLLE 57,10.9699177,-74.80133719999998,0.0,0.0,1,CENTRO
2015-01-04 11:40:00,2015,1,Dom,11:40:00:AM,Medio dia,Solo daños,Choque,CL 94 CR 3B,10.9396731,-74.8270766,0.0,0.0,1,SUR
2015-01-05 14:20:00,2015,1,Lun,02:20:00:PM,Tarde,Solo daños,Choque,CLLE 53 CRA 50 21,10.990930699999998,-74.7900641,0.0,0.0,1,CENTRO
2015-01-05 14:30:00,2015,1,Lun,02:30:00:PM,Tarde,Solo daños,Choque,CLLE 99 CRA 53,11.0145061,-74.82758170000002,0.0,0.0,1,NORTE
2015-01-05 16:00:00,2015,1,Lun,04:00:00:PM,Tarde,Solo daños,Choque,CLLE 45 CRA 36,10.9779446,-74.7877793,0.0,0.0,1,CENTRO
2015-01-05 16:50:00,2015,1,Lun,04:50:00:PM,Tarde,Con heridos,Choque,CLLE C30 CRA 6,10.9449,-74.8240392,1.0,0.0,1,SUR
2015-01-05 18:30:00,2015,1,Lun,06:30:00:PM,Tarde,Solo daños,Choque,CR 39 CL 73,10.9889412,-74.80922369999998,0.0,0.0,1,NORTE
2015-01-05 07:00:00,2015,1,Lun,07:00:00:AM,Mañana,Solo daños,Choque,CL 40 25 07,10.9664317,-74.7881065,0.0,0.0,1,CENTRO
2015-01-05 07:40:00,2015,1,Lun,07:40:00:AM,Mañana,Solo daños,Choque,CLLE 79 CRA 53,11.004304,-74.8081282,0.0,0.0,1,NORTE
2015-01-05 08:00:00,2015,1,Lun,08:00:00:AM,Mañana,Solo daños,Choque,CALLE 41 CR 7C,10.9432486,-74.79607969999998,0.0,0.0,1,SUR
2015-01-05 08:15:00,2015,1,Lun,08:15:00:AM,Mañana,Solo daños,Choque,CR 38 34 13,10.9771422,-74.77951920000002,0.0,0.0,1,CENTRO
2015-01-05 10:20:00,2015,1,Lun,10:20:00:AM,Mañana,Solo daños,Choque,CRA 52 CLLE 86,11.0077415,-74.8193692,0.0,0.0,1,NORTE
2015-01-05 10:40:00,2015,1,Lun,10:40:00:AM,Mañana,Solo daños,Choque,CR 43 CL 48 Y CL 50,10.983577699999998,-74.7886692,0.0,0.0,1,CENTRO
2015-01-05 12:00:00,2015,1,Lun,12:00:00:PM,Medio dia,Solo daños,Choque,CARRERA 27 CALLE 70,10.9769174,-74.81013670000002,0.0,0.0,1,CENTRO
2015-01-05 12:30:00,2015,1,Lun,12:30:00:PM,Medio dia,Con heridos,Choque,CALLE 75 CR 72,11.0110286,-74.79444560000002,1.0,0.0,1,NORTE
2015-01-05 12:30:00,2015,1,Lun,12:30:00:PM,Medio dia,Solo daños,Choque,CALLE 37 CR 25,10.9654229,-74.7857547,0.0,0.0,1,CENTRO
2015-01-06 13:35:00,2015,1,Mar,01:35:00:PM,Medio dia,Solo daños,Choque,CLLE 80 CRA 49C,11.0010288,-74.81338170000002,0.0,0.0,1,NORTE
2015-01-06 15:15:00,2015,1,Mar,03:15:00:PM,Tarde,Solo daños,Choque,CL 95 CR 49D,11.0079605,-74.8273778,0.0,0.0,1,NORTE
2015-01-06 15:40:00,2015,1,Mar,03:40:00:PM,Tarde,Solo daños,Choque,CRA 49C CLLE 91,11.0059384,-74.8243944,0.0,0.0,1,NORTE
2015-01-06 15:50:00,2015,1,Mar,03:50:00:PM,Tarde,Solo daños,Choque,VIA 40 CL 79,11.0204925,-74.798834,0.0,0.0,1,NORTE
2015-01-06 16:45:00,2015,1,Mar,04:45:00:PM,Tarde,Solo daños,Choque,CRA 43 CLLE 80,10.9964867,-74.81584769999998,0.0,0.0,1,NORTE
2015-01-06 18:10:00,2015,1,Mar,06:10:00:PM,Tarde,Solo daños,Choque,CL 74 CR 56,11.001595,-74.8011686,0.0,0.0,1,NORTE
2015-01-06 18:15:00,2015,1,Mar,06:15:00:PM,Tarde,Con heridos,Choque,CL 114 CR 11,10.963877900000002,-74.83879820000001,1.0,0.0,1,SUR
2015-01-06 07:55:00,2015,1,Mar,07:55:00:AM,Mañana,Solo daños,Choque,CALLE 76 CR 39,10.990493699999998,-74.8138629,0.0,0.0,1,NORTE
2015-01-06 08:30:00,2015,1,Mar,08:30:00:AM,Mañana,Solo daños,Choque,CR 40 CL 33,10.9786913,-74.7781181,0.0,0.0,1,CENTRO
2015-01-06 09:20:00,2015,1,Mar,09:20:00:AM,Mañana,Solo daños,Choque,CALLE 70 CR 60,11.001162,-74.79600140000002,0.0,0.0,1,NORTE
2015-01-06 10:40:00,2015,1,Mar,10:40:00:AM,Mañana,Solo daños,Choque,CALLE 110 12F 29,10.967611300000002,-74.8383805,0.0,0.0,1,SUR
2015-01-06 12:15:00,2015,1,Mar,12:15:00:PM,Medio dia,Solo daños,Otro,VIA 40 CLLE 85,11.0263731,-74.8037791,0.0,0.0,1,NORTE
2015-01-07 13:25:00,2015,1,Mié,01:25:00:PM,Medio dia,Solo daños,Choque,CLLE 19 CRA 2C,10.938053,-74.77926110000001,0.0,0.0,1,CENTRO
2015-01-07 13:50:00,2015,1,Mié,01:50:00:PM,Medio dia,Con heridos,Choque,CLLE 68B CRA 26B,10.975506800000002,-74.8083194,1.0,0.0,1,CENTRO
2015-01-07 15:00:00,2015,1,Mié,03:00:00:PM,Tarde,Solo daños,Choque,CLLE 90 CRA 2,10.9363371,-74.8241106,0.0,0.0,1,SUR
2015-01-07 17:15:00,2015,1,Mié,05:15:00:PM,Tarde,Solo daños,Choque,CALLE 74 58 26,11.0028915,-74.79935669999998,0.0,0.0,1,NORTE
2015-01-07 06:10:00,2015,1,Mié,06:10:00:AM,Mañana,Con heridos,Choque,CRA 50 CLLE 45,10.9896371,-74.78394990000002,2.0,0.0,1,CENTRO
2015-01-07 18:20:00,2015,1,Mié,06:20:00:PM,Tarde,Solo daños,Choque,CRA 38 CLLE 70B,10.9847541,-74.809069,0.0,0.0,1,NORTE
2015-01-07 18:50:00,2015,1,Mié,06:50:00:PM,Tarde,Solo daños,Choque,CRA 60 CLLE 79,11.0095477,-74.8053466,0.0,0.0,1,NORTE
2015-01-07 06:59:00,2015,1,Mié,06:59:00:AM,Mañana,Solo daños,Choque,CALLE 84B CR 39A,10.9847485,-74.83360569999998,0.0,0.0,1,NORTE
2015-01-07 07:30:00,2015,1,Mié,07:30:00:AM,Mañana,Solo daños,Choque,AVENIDA 110 CRA 15,11.004107199999998,-74.80698129999998,0.0,0.0,1,NORTE
2015-01-07 08:10:00,2015,1,Mié,08:10:00:AM,Mañana,Solo daños,Choque,CR38 CL 43,10.9792115,-74.78514009999998,0.0,0.0,1,CENTRO
2015-01-07 09:10:00,2015,1,Mié,09:10:00:AM,Mañana,Solo daños,Choque,CLLE 17 CRA 8,10.948341,-74.77345809999998,0.0,0.0,1,CENTRO
2015-01-07 09:50:00,2015,1,Mié,09:50:00:AM,Mañana,Solo daños,Choque,cCLLE 70C CRA 25B,10.9745164,-74.810198,0.0,0.0,1,CENTRO
2015-01-07 10:30:00,2015,1,Mié,10:30:00:AM,Mañana,Solo daños,Choque,CALLE 47 CR 20,10.9321576,-74.8048226,0.0,0.0,1,SUR
2015-01-07 11:25:00,2015,1,Mié,11:25:00:AM,Medio dia,Con heridos,Volcamiento,CR 50 CL 43,10.9893062,-74.7827099,2.0,0.0,1,CENTRO
2015-01-07 11:45:00,2015,1,Mié,11:45:00:AM,Medio dia,Con heridos,Choque,CR 14 CL 63,10.9610069,-74.8078917,2.0,0.0,1,SUR
2015-01-07 12:10:00,2015,1,Mié,12:10:00:PM,Medio dia,Solo daños,Choque,CLLE 30 CRA 10,10.9479443,-74.7850031,0.0,0.0,1,CENTRO
2015-01-08 13:30:00,2015,1,Jue,01:30:00:PM,Medio dia,Solo daños,Choque,CLLE 47 CRA 32,10.974399,-74.78980980000001,0.0,0.0,1,CENTRO
2015-01-08 14:00:00,2015,1,Jue,02:00:00:PM,Tarde,Solo daños,Choque,CLLE 19 CRA 8,10.9480714,-74.7753546,0.0,0.0,1,CENTRO
2015-01-08 15:20:00,2015,1,Jue,03:20:00:PM,Tarde,Solo daños,Choque,CLLE 27 CRA 63B,10.9673665,-74.7853161,0.0,0.0,1,CENTRO
2015-01-08 15:40:00,2015,1,Jue,03:40:00:PM,Tarde,Solo daños,Choque,CL 98 CR 52C,11.0133121,-74.82695919999998,0.0,0.0,1,NORTE
2015-01-08 17:00:00,2015,1,Jue,05:00:00:PM,Tarde,Con heridos,Choque,CR 44 CL 57,10.9869278,-74.79440550000002,1.0,0.0,1,CENTRO
2015-01-08 06:20:00,2015,1,Jue,06:20:00:AM,Mañana,Solo daños,Choque,CRA 22 CLLE 47B,10.965683,-74.7938705,0.0,0.0,1,CENTRO
2015-01-08 06:45:00,2015,1,Jue,06:45:00:AM,Mañana,Solo daños,Choque,CLLE 84 CRA 57,11.0093433,-74.8132658,0.0,0.0,1,NORTE
2015-01-08 06:55:00,2015,1,Jue,06:55:00:AM,Mañana,Solo daños,Choque,CLLE 70C CRA 26D,10.9765078,-74.80978990000001,0.0,0.0,1,CENTRO
2015-01-08 19:00:00,2015,1,Jue,07:00:00:PM,Noche,Solo daños,Choque,AVENIDA 110 VIA 40,11.0215868,-74.79971450000002,0.0,0.0,1,NORTE
2015-01-08 19:20:00,2015,1,Jue,07:20:00:PM,Noche,Solo daños,Choque,CLLE 72 CRA 41B,10.9900954,-74.8080641,0.0,0.0,1,NORTE
2015-01-08 21:10:00,2015,1,Jue,09:10:00:PM,Noche,Con heridos,Choque,CRA 21 CLLE 41,10.9611545,-74.7917569,1.0,0.0,1,CENTRO
2015-01-08 23:00:00,2015,1,Jue,11:00:00:PM,Noche,Solo daños,Choque,CLLE 72 CRA 38,10.9853698,-74.81122640000002,0.0,0.0,1,NORTE
2015-01-08 11:10:00,2015,1,Jue,11:10:00:AM,Medio dia,Con heridos,Choque,CLLE 110 CRA 31,10.978325300000002,-74.8361819,1.0,0.0,1,NORTE
2015-01-08 11:30:00,2015,1,Jue,11:30:00:AM,Medio dia,Solo daños,Choque,CLLE 72 CRA 58,11.0012782,-74.7985432,0.0,0.0,1,NORTE
2015-01-09 15:10:00,2015,1,Vie,03:10:00:PM,Tarde,Solo daños,Choque,CARRERA 53 CALLE 61 109,10.9943522,-74.79479029999997,0.0,0.0,1,NORTE
2015-01-09 16:50:00,2015,1,Vie,04:50:00:PM,Tarde,Solo daños,Choque,CR 53 82 253,11.006965199999998,-74.81470689999998,0.0,0.0,1,NORTE
2015-01-09 17:40:00,2015,1,Vie,05:40:00:PM,Tarde,Solo daños,Choque,CRA 50 CLLE 80,11.0017022,-74.81262459999998,0.0,0.0,1,NORTE
2015-01-09 18:00:00,2015,1,Vie,06:00:00:PM,Tarde,Solo daños,Choque,CLLE 30 CRA 46,10.9854607,-74.776012,0.0,0.0,1,CENTRO
2015-01-09 18:10:00,2015,1,Vie,06:10:00:PM,Tarde,Solo daños,Choque,CLLE 92 CRA 40A,11.009298,-74.82363690000003,0.0,0.0,1,NORTE
2015-01-09 18:20:00,2015,1,Vie,06:20:00:PM,Tarde,Solo daños,Choque,CLLE 17 CRA 33,10.9703073,-74.7743478,0.0,0.0,1,CENTRO
2015-01-09 07:52:00,2015,1,Vie,07:52:00:AM,Mañana,Solo daños,Choque,CALLE 17 CR 22,10.9595659,-74.77471949999997,0.0,0.0,1,CENTRO
2015-01-09 08:50:00,2015,1,Vie,08:50:00:AM,Mañana,Solo daños,Choque,CLLE 45 CRA 8D,10.9483105,-74.79992879999998,0.0,0.0,1,SUR
2015-01-09 09:00:00,2015,1,Vie,09:00:00:AM,Mañana,Solo daños,Choque,CLLE 82 CRA 53,11.0061612,-74.81332689999998,0.0,0.0,1,NORTE
2015-01-09 10:15:00,2015,1,Vie,10:15:00:AM,Mañana,Solo daños,Choque,CLLE 35 CRA 33,10.9725786,-74.78171259999998,0.0,0.0,1,CENTRO
2015-01-09 11:00:00,2015,1,Vie,11:00:00:AM,Medio dia,Solo daños,Choque,CLLE 106 CRA 50,11.0132094,-74.83650949999998,0.0,0.0,1,NORTE
2015-01-09 11:25:00,2015,1,Vie,11:25:00:AM,Medio dia,Solo daños,Choque,CONCENTRADOS DEL NORTE UBICADO EN LA CRA 42 CL 7,10.9791081,-74.7696478,0.0,0.0,1,CENTRO
2015-01-10 13:00:00,2015,1,Sáb,01:00:00:PM,Medio dia,Con heridos,Choque,CL 110 CR 13,10.9683261,-74.83805140000003,2.0,0.0,1,SUR
2015-01-10 13:40:00,2015,1,Sáb,01:40:00:PM,Medio dia,Solo daños,Choque,CRA 4 CLLE 35,10.939227699999998,-74.7891386,0.0,0.0,1,CENTRO
2015-01-10 14:10:00,2015,1,Sáb,02:10:00:PM,Tarde,Solo daños,Choque,CLLE 98 CRA 59B,11.0181679,-74.8232252,0.0,0.0,1,NORTE
2015-01-10 15:10:00,2015,1,Sáb,03:10:00:PM,Tarde,Solo daños,Choque,CRA 42F CLLE 79,10.994006,-74.8144662,0.0,0.0,1,NORTE
2015-01-10 04:10:00,2015,1,Sáb,04:10:00:AM,Madrugada,Con heridos,Atropello,AV CIRCUNVALAR CALLE 47B,10.9411714,-74.8338443,2.0,0.0,1,SUR
2015-01-10 16:14:00,2015,1,Sáb,04:14:00:PM,Tarde,Solo daños,Choque,CLLE 45B CRA 13C,10.9540335,-74.79767330000001,0.0,0.0,1,CENTRO
2015-01-10 16:40:00,2015,1,Sáb,04:40:00:PM,Tarde,Solo daños,Choque,CALLE 63B CR 28,10.976334199999998,-74.80449770000001,0.0,0.0,1,CENTRO
2015-01-10 05:00:00,2015,1,Sáb,05:00:00:AM,Madrugada,Con heridos,Choque,CALLE 49 1A 41,10.9314495,-74.8093145,2.0,0.0,1,SUR
2015-01-10 08:00:00,2015,1,Sáb,08:00:00:AM,Mañana,Solo daños,Choque,CLLE 30 CRA 6B,10.9433844,-74.78383659999999,0.0,0.0,1,CENTRO
2015-01-10 08:30:00,2015,1,Sáb,08:30:00:AM,Mañana,Con heridos,Atropello,AVENIDA 47 CLLE 60,11.004107199999998,-74.80698129999998,1.0,0.0,1,NORTE
2015-01-10 09:10:00,2015,1,Sáb,09:10:00:AM,Mañana,Solo daños,Choque,CRA 45 CLLE 84,11.000748800000002,-74.819319,0.0,0.0,1,NORTE
2015-01-10 10:50:00,2015,1,Sáb,10:50:00:AM,Mañana,Solo daños,Choque,CRA 38 CLLE 54,10.9816451,-74.79441059999998,0.0,0.0,1,CENTRO
2015-01-10 12:10:00,2015,1,Sáb,12:10:00:PM,Medio dia,Solo daños,Choque,AV CIRCUNVALAR CR 46,11.0004774,-74.84121479999997,0.0,0.0,1,NORTE
2015-01-10 12:30:00,2015,1,Sáb,12:30:00:PM,Medio dia,Solo daños,Choque,CRA 27 CLLE 39,10.9680023,-74.7862361,0.0,0.0,1,CENTRO
2015-01-10 12:30:00,2015,1,Sáb,12:30:00:PM,Medio dia,Solo daños,Choque,VIA 40 CALLE 68B,11.0215868,-74.79971450000002,0.0,0.0,1,NORTE
2015-01-11 14:00:00,2015,1,Dom,02:00:00:PM,Tarde,Solo daños,Choque,AVENIDA DEL RIO KM 1 + 100,10.997068400000002,-74.77051379999997,0.0,0.0,1,CENTRO
2015-01-11 14:30:00,2015,1,Dom,02:30:00:PM,Tarde,Solo daños,Choque,CALLE 17 CR 8,10.948341,-74.77345809999998,0.0,0.0,1,CENTRO
2015-01-11 14:30:00,2015,1,Dom,02:30:00:PM,Tarde,Solo daños,Choque,CR 42 CALLE 99A,10.9799377,-74.7736255,0.0,0.0,1,CENTRO
2015-01-11 16:00:00,2015,1,Dom,04:00:00:PM,Tarde,Solo daños,Choque,CRA 31 CLLE 69C,10.980664,-74.80756190000002,0.0,0.0,1,CENTRO
2015-01-11 07:30:00,2015,1,Dom,07:30:00:AM,Mañana,Solo daños,Choque,CALLE 45 MURILLO CON 1,10.9303573,-74.7989715,0.0,0.0,1,SUR
2015-01-11 09:00:00,2015,1,Dom,09:00:00:AM,Mañana,Solo daños,Choque,CRA 50 CLLE 43,10.9893062,-74.7827099,0.0,0.0,1,CENTRO
2015-01-11 22:00:00,2015,1,Dom,10:00:00:PM,Noche,Solo daños,Choque,CRA 51B CLLE 100,11.0119752,-74.83202589999998,0.0,0.0,1,NORTE
2015-01-11 22:15:00,2015,1,Dom,10:15:00:PM,Noche,Con heridos,Choque,CR 38 CL 54,10.9816451,-74.79441059999998,2.0,0.0,1,CENTRO
