FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,LATITUD,LONGITUD
01/04/2015 12:00:00 AM,2015,1,Dom,03:10:00:PM,Solo daños,Choque,CR 30 CL 47,0.0,0.0,1,10.9723721,-74.79054119999998
01/04/2015 12:00:00 AM,2015,1,Dom,03:24:00:AM,Solo daños,Choque,CALLE 110 CR 9G,0.0,0.0,1,10.950268199999998,-74.8562908
01/04/2015 12:00:00 AM,2015,1,Dom,03:30:00:PM,Solo daños,Choque,CR 22 48 46,0.0,0.0,1,10.9665272,-74.7954736
01/04/2015 12:00:00 AM,2015,1,Dom,07:00:00:PM,Solo daños,Choque,CRA 23 CLLE 57,0.0,0.0,1,10.9699177,-74.80133719999998
01/04/2015 12:00:00 AM,2015,1,Dom,11:40:00:AM,Solo daños,Choque,CL 94 CR 3B,0.0,0.0,1,10.9396731,-74.8270766
01/05/2015 12:00:00 AM,2015,1,Lun,02:20:00:PM,Solo daños,Choque,CLLE 53 CRA 50 21,0.0,0.0,1,10.990930699999998,-74.7900641
01/05/2015 12:00:00 AM,2015,1,Lun,02:30:00:PM,Solo daños,Choque,CLLE 99 CRA 53,0.0,0.0,1,11.0145061,-74.82758170000002
01/05/2015 12:00:00 AM,2015,1,Lun,04:00:00:PM,Solo daños,Choque,CLLE 45 CRA 36,0.0,0.0,1,10.9779446,-74.7877793
01/05/2015 12:00:00 AM,2015,1,Lun,04:50:00:PM,Con heridos,Choque,CLLE C30 CRA 6,1.0,0.0,1,10.9449,-74.8240392
01/05/2015 12:00:00 AM,2015,1,Lun,06:30:00:PM,Solo daños,Choque,CR 39 CL 73,0.0,0.0,1,10.9889412,-74.80922369999998
